epochs,walk_length,window,n_walks,d,neg_samples,mean_auc,std_auc,min_auc,max_auc,n_windows,time_seconds
3,20,3,10,32,5,0.6976193546875524,0.008894306221261295,0.6830459185354307,0.7056117088297846,4,49.26503396034241
3,20,3,10,32,10,0.6974647815733301,0.008878159433416943,0.6828807322009195,0.7056504541101971,4,73.34906554222107
3,20,3,10,32,15,0.6978660081658536,0.008839619249634001,0.6833076373860991,0.7060045207954938,4,93.42292666435242
3,20,3,10,64,5,0.6975143648470068,0.008916700883216392,0.6827664581300512,0.7049787125285194,4,49.50046420097351
3,20,3,10,64,10,0.697531110760967,0.008918004421387146,0.6829013521661653,0.7053992956128752,4,75.17686772346497
3,20,3,10,64,15,0.6973229326761664,0.008821300645215873,0.6826747543597297,0.70467605993863,4,93.02557635307312
3,20,3,10,128,5,0.6975332505022034,0.008732613984963248,0.6830601754443884,0.7046706286386308,4,49.42258906364441
3,20,3,10,128,10,0.6976041066642211,0.00871560905593213,0.6832087398484868,0.7052009281926632,4,72.58611488342285
3,20,3,10,128,15,0.6974895885573883,0.008661210547967733,0.6830889546326091,0.7045971203711119,4,94.25176167488098
3,20,3,15,32,5,0.6975479248922066,0.008815193421746935,0.6830431526266652,0.7054290178876966,4,72.96939659118652
3,20,3,15,32,10,0.6977278988875919,0.008865335662531853,0.6831514751222577,0.7057278532017153,4,106.55128264427185
3,20,3,15,32,15,0.6973065163402474,0.008854444169439105,0.6827003069225583,0.7049614351025701,4,140.11865520477295
3,20,3,15,64,5,0.6971623259534483,0.008758196393730136,0.6826751503556587,0.7043067534945652,4,72.7682774066925
3,20,3,15,64,10,0.6970254460563745,0.008678254102509365,0.6826196292008959,0.7039101198942175,4,106.37029266357422
3,20,3,15,64,15,0.6974008251797182,0.00878950832923555,0.6828734696582339,0.705022461495997,4,139.8608729839325
3,20,3,15,128,5,0.6973565423195693,0.008560358863884352,0.6831160090683095,0.704250290358224,4,72.98422050476074
3,20,3,15,128,10,0.6971128472607708,0.008731455186285356,0.6825355148977368,0.7040382113090853,4,107.48747634887695
3,20,3,15,128,15,0.6974203952094512,0.00890334274476894,0.6827328486256042,0.7052071681655954,4,141.13612127304077
3,20,3,20,32,5,0.6976237061746313,0.008882469567599813,0.6830384287752135,0.7056760274377136,4,96.737544298172
3,20,3,20,32,10,0.6975923845135958,0.008945844571797895,0.6829074051088815,0.7057264709376396,4,140.82978582382202
3,20,3,20,32,15,0.6976910998930036,0.00890002073547717,0.6830749179259126,0.7057245671769872,4,185.03325963020325
3,20,3,20,64,5,0.6970230634019037,0.008645072944859788,0.682643504612067,0.7039390593894546,4,96.16795015335083
3,20,3,20,64,10,0.6971327354478771,0.008777863901368364,0.6826354575690596,0.7045720978200729,4,141.04403281211853
3,20,3,20,64,15,0.6974387473150792,0.008599257200686244,0.6831526815170852,0.7045440176178068,4,185.48516845703125
3,20,3,20,128,5,0.6973368377080073,0.00855489693960843,0.6831050484869269,0.7042808836736243,4,96.61862015724182
3,20,3,20,128,10,0.6975275822200352,0.008675725733718212,0.683168545128938,0.7048979225425912,4,141.7494077682495
3,20,3,20,128,15,0.6976445531071382,0.008784819060405282,0.6831755685860565,0.7054352302172916,4,186.2749593257904
3,20,3,30,32,5,0.6979563000195448,0.008910492578238295,0.6833404714006636,0.7060612334672343,4,143.21396946907043
3,20,3,30,32,10,0.6982393122961773,0.008918411744798842,0.6836379471622562,0.7064017904032411,4,209.2778022289276
3,20,3,30,32,15,0.6981585147439728,0.008980132601395184,0.6835277586819456,0.7064975236707165,4,277.184862613678
3,20,3,30,64,5,0.6973827007125804,0.008686593302201734,0.6830235153141703,0.7046729038019384,4,142.87412428855896
3,20,3,30,64,10,0.6981140667838976,0.00895640047150046,0.6834463422201202,0.7062572675208173,4,209.43810033798218
3,20,3,30,64,15,0.6980360481685863,0.008895301992994592,0.6834558611183649,0.7060324565426894,4,276.8446238040924
3,20,3,30,128,5,0.6979640428816559,0.008772572160163795,0.6835190595277117,0.7056485871641177,4,142.91923236846924
3,20,3,30,128,10,0.6985112010392713,0.008888844668328923,0.683946308821563,0.7065617461427027,4,210.80663633346558
3,20,3,30,128,15,0.698000725807798,0.008688170951092157,0.683612044054728,0.7050466869920824,4,276.95239520072937
3,20,5,10,32,5,0.6976109215411243,0.008916750292499472,0.6829847843018474,0.7057705044564905,4,75.89470887184143
3,20,5,10,32,10,0.6975567835362149,0.00880406649821078,0.6830320180150862,0.7049161016663257,4,111.30318212509155
3,20,5,10,32,15,0.6978050675481897,0.008917348379078822,0.6830685764560622,0.7056742552826788,4,145.79343581199646
